Data; Strefa; Wartość kWh;Rodzaj;
2025-07-05 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-05 5:00;T1;0,002;oddana po zbilansowaniu;
2025-07-05 6:00;T1;0,001;oddana po zbilansowaniu;
2025-07-05 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-05 8:00;T1;0,234;oddana po zbilansowaniu;
2025-07-05 9:00;T1;1,848;oddana po zbilansowaniu;
2025-07-05 10:00;T1;2,080;oddana po zbilansowaniu;
2025-07-05 11:00;T1;2,610;oddana po zbilansowaniu;
2025-07-05 12:00;T1;2,791;oddana po zbilansowaniu;
2025-07-05 13:00;T1;2,874;oddana po zbilansowaniu;
2025-07-05 14:00;T1;2,860;oddana po zbilansowaniu;
2025-07-05 15:00;T1;2,649;oddana po zbilansowaniu;
2025-07-05 16:00;T1;2,399;oddana po zbilansowaniu;
2025-07-05 17:00;T1;2,127;oddana po zbilansowaniu;
2025-07-05 18:00;T1;1,679;oddana po zbilansowaniu;
2025-07-05 19:00;T1;1,153;oddana po zbilansowaniu;
2025-07-05 20:00;T1;0,212;oddana po zbilansowaniu;
2025-07-05 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-05 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-05 23:00;T1;0,000;oddana po zbilansowaniu;
2025-07-05 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-06 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-06 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-06 3:00;T1;0,002;oddana po zbilansowaniu;
2025-07-06 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-06 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-06 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-06 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-06 8:00;T1;0,362;oddana po zbilansowaniu;
2025-07-06 9:00;T1;1,823;oddana po zbilansowaniu;
2025-07-06 10:00;T1;2,235;oddana po zbilansowaniu;
2025-07-06 11:00;T1;2,740;oddana po zbilansowaniu;
2025-07-06 12:00;T1;2,773;oddana po zbilansowaniu;
2025-07-06 13:00;T1;2,835;oddana po zbilansowaniu;
2025-07-06 14:00;T1;1,845;oddana po zbilansowaniu;
2025-07-06 15:00;T1;1,925;oddana po zbilansowaniu;
2025-07-06 16:00;T1;1,981;oddana po zbilansowaniu;
2025-07-06 17:00;T1;1,680;oddana po zbilansowaniu;
2025-07-06 18:00;T1;1,315;oddana po zbilansowaniu;
2025-07-06 19:00;T1;0,619;oddana po zbilansowaniu;
2025-07-06 20:00;T1;0,108;oddana po zbilansowaniu;
2025-07-06 21:00;T1;0,830;oddana po zbilansowaniu;
2025-07-06 22:00;T1;0,824;oddana po zbilansowaniu;
2025-07-06 23:00;T1;0,313;oddana po zbilansowaniu;
2025-07-06 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 9:00;T1;0,001;oddana po zbilansowaniu;
2025-07-07 10:00;T1;0,065;oddana po zbilansowaniu;
2025-07-07 11:00;T1;1,544;oddana po zbilansowaniu;
2025-07-07 12:00;T1;1,910;oddana po zbilansowaniu;
2025-07-07 13:00;T1;0,284;oddana po zbilansowaniu;
2025-07-07 14:00;T1;1,140;oddana po zbilansowaniu;
2025-07-07 15:00;T1;1,303;oddana po zbilansowaniu;
2025-07-07 16:00;T1;0,098;oddana po zbilansowaniu;
2025-07-07 17:00;T1;0,538;oddana po zbilansowaniu;
2025-07-07 18:00;T1;0,221;oddana po zbilansowaniu;
2025-07-07 19:00;T1;0,066;oddana po zbilansowaniu;
2025-07-07 20:00;T1;1,121;oddana po zbilansowaniu;
2025-07-07 21:00;T1;1,006;oddana po zbilansowaniu;
2025-07-07 22:00;T1;0,003;oddana po zbilansowaniu;
2025-07-07 23:00;T1;0,000;oddana po zbilansowaniu;
2025-07-07 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 9:00;T1;0,000;oddana po zbilansowaniu;
2025-07-08 10:00;T1;1,416;oddana po zbilansowaniu;
2025-07-08 11:00;T1;1,262;oddana po zbilansowaniu;
2025-07-08 12:00;T1;0,726;oddana po zbilansowaniu;
2025-07-08 13:00;T1;0,551;oddana po zbilansowaniu;
2025-07-08 14:00;T1;0,608;oddana po zbilansowaniu;
2025-07-08 15:00;T1;0,633;oddana po zbilansowaniu;
2025-07-08 16:00;T1;0,648;oddana po zbilansowaniu;
2025-07-08 17:00;T1;0,670;oddana po zbilansowaniu;
2025-07-08 18:00;T1;0,245;oddana po zbilansowaniu;
2025-07-08 19:00;T1;0,129;oddana po zbilansowaniu;
2025-07-08 20:00;T1;0,004;oddana po zbilansowaniu;
2025-07-08 21:00;T1;0,863;oddana po zbilansowaniu;
2025-07-08 22:00;T1;0,792;oddana po zbilansowaniu;
2025-07-08 23:00;T1;0,830;oddana po zbilansowaniu;
2025-07-08 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 9:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 10:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 11:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 12:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 13:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 14:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 15:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 16:00;T1;0,015;oddana po zbilansowaniu;
2025-07-09 17:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 18:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 19:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 20:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 23:00;T1;0,000;oddana po zbilansowaniu;
2025-07-09 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 9:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 10:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 11:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 12:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 13:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 14:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 15:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 16:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 17:00;T1;0,001;oddana po zbilansowaniu;
2025-07-10 18:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 19:00;T1;0,001;oddana po zbilansowaniu;
2025-07-10 20:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-10 23:00;T1;0,002;oddana po zbilansowaniu;
2025-07-10 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 7:00;T1;0,001;oddana po zbilansowaniu;
2025-07-11 8:00;T1;0,000;oddana po zbilansowaniu;
2025-07-11 9:00;T1;1,334;oddana po zbilansowaniu;
2025-07-11 10:00;T1;0,808;oddana po zbilansowaniu;
2025-07-11 11:00;T1;1,735;oddana po zbilansowaniu;
2025-07-11 12:00;T1;2,063;oddana po zbilansowaniu;
2025-07-11 13:00;T1;1,846;oddana po zbilansowaniu;
2025-07-11 14:00;T1;2,801;oddana po zbilansowaniu;
2025-07-11 15:00;T1;2,240;oddana po zbilansowaniu;
2025-07-11 16:00;T1;1,579;oddana po zbilansowaniu;
2025-07-11 17:00;T1;0,553;oddana po zbilansowaniu;
