Data; Strefa; Wartość kWh;Rodzaj;
2025-08-01 1:00;T1;0,000;oddana po zbilansowaniu;
2025-08-01 2:00;T1;0,000;oddana po zbilansowaniu;
2025-08-01 3:00;T1;0,000;oddana po zbilansowaniu;
2025-08-01 4:00;T1;0,003;oddana po zbilansowaniu;
2025-08-01 5:00;T1;0,000;oddana po zbilansowaniu;
2025-08-01 6:00;T1;0,002;oddana po zbilansowaniu;
2025-08-01 7:00;T1;0,000;oddana po zbilansowaniu;
2025-08-01 8:00;T1;0,007;oddana po zbilansowaniu;
2025-08-01 9:00;T1;1,675;oddana po zbilansowaniu;
2025-08-01 10:00;T1;1,774;oddana po zbilansowaniu;
2025-08-01 11:00;T1;2,402;oddana po zbilansowaniu;
2025-08-01 12:00;T1;2,622;oddana po zbilansowaniu;
2025-08-01 13:00;T1;1,751;oddana po zbilansowaniu;
2025-08-01 14:00;T1;2,123;oddana po zbilansowaniu;
2025-08-01 15:00;T1;0,881;oddana po zbilansowaniu;
2025-08-01 16:00;T1;1,399;oddana po zbilansowaniu;
2025-08-01 17:00;T1;1,170;oddana po zbilansowaniu;
2025-08-01 18:00;T1;0,131;oddana po zbilansowaniu;
2025-08-01 19:00;T1;0,048;oddana po zbilansowaniu;
2025-08-01 20:00;T1;0,000;oddana po zbilansowaniu;
2025-08-01 21:00;T1;0,000;oddana po zbilansowaniu;
2025-08-01 22:00;T1;0,001;oddana po zbilansowaniu;
2025-08-01 23:00;T1;0,003;oddana po zbilansowaniu;
2025-08-01 24:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 1:00;T1;0,002;oddana po zbilansowaniu;
2025-08-02 2:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 3:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 4:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 5:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 6:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 7:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 8:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 9:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 10:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 11:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 12:00;T1;0,000;oddana po zbilansowaniu;
2025-08-02 13:00;T1;0,595;oddana po zbilansowaniu;
2025-08-02 14:00;T1;2,182;oddana po zbilansowaniu;
2025-08-02 15:00;T1;2,169;oddana po zbilansowaniu;
2025-08-02 16:00;T1;1,371;oddana po zbilansowaniu;
2025-08-02 17:00;T1;1,157;oddana po zbilansowaniu;
