Data; Strefa; Wartość kWh;Rodzaj;
2025-06-01 1:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 2:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 3:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 4:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 5:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 6:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 7:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 8:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 9:00;T1;1,579;oddana po zbilansowaniu;
2025-06-01 10:00;T1;2,173;oddana po zbilansowaniu;
2025-06-01 11:00;T1;2,567;oddana po zbilansowaniu;
2025-06-01 12:00;T1;2,842;oddana po zbilansowaniu;
2025-06-01 13:00;T1;2,918;oddana po zbilansowaniu;
2025-06-01 14:00;T1;2,890;oddana po zbilansowaniu;
2025-06-01 15:00;T1;2,775;oddana po zbilansowaniu;
2025-06-01 16:00;T1;2,296;oddana po zbilansowaniu;
2025-06-01 17:00;T1;1,165;oddana po zbilansowaniu;
2025-06-01 18:00;T1;0,992;oddana po zbilansowaniu;
2025-06-01 19:00;T1;0,513;oddana po zbilansowaniu;
2025-06-01 20:00;T1;0,139;oddana po zbilansowaniu;
2025-06-01 21:00;T1;0,002;oddana po zbilansowaniu;
2025-06-01 22:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 23:00;T1;0,000;oddana po zbilansowaniu;
2025-06-01 24:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 1:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 2:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 3:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 4:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 5:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 6:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 7:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 8:00;T1;0,854;oddana po zbilansowaniu;
2025-06-02 9:00;T1;1,799;oddana po zbilansowaniu;
2025-06-02 10:00;T1;2,262;oddana po zbilansowaniu;
2025-06-02 11:00;T1;2,649;oddana po zbilansowaniu;
2025-06-02 12:00;T1;3,050;oddana po zbilansowaniu;
2025-06-02 13:00;T1;1,782;oddana po zbilansowaniu;
2025-06-02 14:00;T1;2,498;oddana po zbilansowaniu;
2025-06-02 15:00;T1;1,914;oddana po zbilansowaniu;
2025-06-02 16:00;T1;2,090;oddana po zbilansowaniu;
2025-06-02 17:00;T1;1,581;oddana po zbilansowaniu;
2025-06-02 18:00;T1;0,283;oddana po zbilansowaniu;
2025-06-02 19:00;T1;0,167;oddana po zbilansowaniu;
2025-06-02 20:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 21:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 22:00;T1;0,000;oddana po zbilansowaniu;
2025-06-02 23:00;T1;0,001;oddana po zbilansowaniu;
2025-06-02 24:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 1:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 2:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 3:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 4:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 5:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 6:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 7:00;T1;0,001;oddana po zbilansowaniu;
2025-06-03 8:00;T1;0,001;oddana po zbilansowaniu;
2025-06-03 9:00;T1;0,002;oddana po zbilansowaniu;
2025-06-03 10:00;T1;0,001;oddana po zbilansowaniu;
2025-06-03 11:00;T1;0,645;oddana po zbilansowaniu;
2025-06-03 12:00;T1;0,803;oddana po zbilansowaniu;
2025-06-03 13:00;T1;0,607;oddana po zbilansowaniu;
2025-06-03 14:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 15:00;T1;0,820;oddana po zbilansowaniu;
2025-06-03 16:00;T1;1,265;oddana po zbilansowaniu;
2025-06-03 17:00;T1;2,132;oddana po zbilansowaniu;
2025-06-03 18:00;T1;1,380;oddana po zbilansowaniu;
2025-06-03 19:00;T1;0,625;oddana po zbilansowaniu;
2025-06-03 20:00;T1;0,194;oddana po zbilansowaniu;
2025-06-03 21:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 22:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 23:00;T1;0,000;oddana po zbilansowaniu;
2025-06-03 24:00;T1;0,000;oddana po zbilansowaniu;
2025-06-04 1:00;T1;0,000;oddana po zbilansowaniu;
2025-06-04 2:00;T1;0,000;oddana po zbilansowaniu;
2025-06-04 3:00;T1;0,000;oddana po zbilansowaniu;
2025-06-04 4:00;T1;0,000;oddana po zbilansowaniu;
